RESEARCH_ORG_CLEAN,total_funding,total_publications,avg_field_citation_ratio,avg_relative_citation_ratio,num_grants,dominant_field,impact_efficiency,cost_per_impact
STATE UNIVERSITY NEW YORK STONY BROOK,184916440.0,1111.0,6.645600292519757,2.3746098188842,208,Biomedical,3.9927558225701563e-05,25045.358254747847
STATE UNIVERSITY OF NEW YORK AT BUFFALO,245365246.5,1330.0,4.878882481577717,2.028540866800505,289,Biomedical,2.6445936386913556e-05,37812.99271727953
SUNY AT BUFFALO,171584327.0,2734.0,4.59600307923169,1.0223018278018279,291,Engineering & CS,7.323205235766925e-05,13655.22292227926
SUNY AT STONY BROOK,187199762.0,1870.0,5.008811569519876,1.6348023728722259,304,Physical Sciences,5.003466636352972e-05,19986.14306198113
TEXAS A AND M ENGINEERING EXPERIMENT STATION,3546887.0,116.0,4.784646464646465,1.1776190476190476,6,Defense,0.0001564805954909164,6390.568727469147
TEXAS A M UNIVERSITY,9627424.254578754,65.5,4.942142857142857,0.8200000000000001,29,Other,3.362377605712162e-05,29740.859512660147
TEXAS AM AGRILIFE RESEARCH,195484012.0,859.0,4.549046956700318,1.8480067169540884,230,Biomedical,1.9989518814487873e-05,50026.21670288664
TEXAS AM ENGINEERING EXPERIMENT STATION,161574440.0,1702.5,5.089303442213846,1.6305866492715808,350,Engineering & CS,5.3625679348596673e-05,18647.782408488387
TEXAS AM UNIVERSITY,395534688.4888889,3073.1555555555556,5.77173179469733,1.4630839965931668,473,Physical Sciences,4.484418218239032e-05,22299.43665675067
TEXAS AM UNIVERSITY COLLEGE STATION,955000.0,63.11666666666667,8.388506206639788,0.9329166666666666,68,Other,0.0005544026702363852,1803.7431161246423
TEXAS ENGINEERING EXPERIMENT STATION,42561234.333333336,492.0,4.085198771502451,1.4304977531621699,46,Biomedical,4.722414251047855e-05,21175.609483604923
THE AUSTRALIAN NATIONAL UNIVERSITY,14183571.910654234,108.3099123855161,6.452257511407939,1.83754415620294,56,Other,4.927132954601046e-05,20295.778685374866
THE BOARD OF TRUSTEES OF THE LELAND STANFORD JUNIOR UNIVERSITY,44113468.63333333,186.5,7.8809092702169625,2.2552864583333334,174,Other,3.331838607188669e-05,30013.45857036508
THE CHANCELLOR MASTERS AND SCHOLARS OF THE UNIVERSITY OF OXFORD,12495464.355503932,64.6508663778562,17.315102653302652,2.8759602199380008,16,Other,8.958741797094161e-05,11162.281742781759
THE CURATORS OF THE UNIVERSITY OF MISSOURI,21656637.28917749,168.87012987012986,3.67412561247011,2.1656432748538013,31,Other,2.8649418700245607e-05,34904.722167763466
THE GEORGE WASHINGTON UNIVERSITY,62974597.25,523.25,7.145158431534148,1.5327435179199884,58,Other,5.9368448748598276e-05,16843.963773326832
THE JOHNS HOPKINS UNIVERSITY,65806431.0,553.0,4.887960469607021,1.4754916564916567,68,Physical Sciences,4.1075653224419396e-05,24345.321899969247
THE OHIO STATE UNIVERSITY,195410252.3311508,1318.7623015873016,5.66154291823715,1.2745347876856243,273,Other,3.820797158962321e-05,26172.54877439207
THE PENNSYLVANIA STATE UNIVERSITY,254980345.92952573,1818.6368247006405,7.447332379612014,1.5780038792951046,262,Biomedical,5.3117791734000145e-05,18826.083829081894
THE PENNSYLVANIA STATE UNIVERSITY USA,1715540.66,58.56,4.392584043762433,1.4331060606060608,16,Other,0.00014994090644446055,6669.294082001625
THE RECTOR AND VISITORS OF THE UNIVERSITY OF VIRGINIA,92247428.5,310.5,6.111208927459129,0.5998148148148148,36,Physical Sciences,2.05700083225199e-05,48614.46744798868
THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,78222232.31172213,521.4721029503222,5.478228315797244,1.7032386324424367,154,Other,3.652086057703429e-05,27381.611062824682
THE REGENTS OF THE UNIVERSITY OF CALIFORNIA LOS ANGELES,37475407.8452381,180.7,9.071046666666666,3.0929814814814818,144,Other,4.373903386017312e-05,22862.873542128167
THE REGENTS OF THE UNIVERSITY OF CALIFORNIA ON BEHALF OF ITS DAVIS CAMPUS,10468742.138095237,91.2,4.330444947209653,1.2893666666666665,50,Other,3.7725313507184936e-05,26507.40065578371
THE REGENTS OF THE UNIVERSITY OF CALIFORNIA RIVERSIDE,49322393.0,446.95,25.677029440735165,1.8939264828738513,44,Physical Sciences,0.00023268028192664094,4297.742772699916
THE REGENTS OF THE UNIVERSITY OF CALIFORNIA SAN DIEGO,21012261.733333334,63.2,6.27102564102564,2.4136734693877555,96,Other,1.8861787728642946e-05,53017.24387882014
THE REGENTS OF THE UNIVERSITY OF CALIFORNIA UCSD,157411733.0,1646.0,8.391082367421053,1.1469106373173124,57,Physical Sciences,8.774264353455186e-05,11396.966853480013
THE REGENTS OF THE UNIVERSITY OF COLORADO D B A UNIVERSITY OF COLORADO,106841955.0,966.0,8.323698745637557,0.7923454117947907,65,Physical Sciences,7.52578234672501e-05,13287.655075955914
THE REGENTS OF THE UNIVERSITY OF MICHIGAN,36950934.28333333,162.2,8.150758403361344,3.4437365591397846,157,Other,3.577860854310036e-05,27949.66156370669
THE REGENTS OF UNIVERSITY OF CALIFORNIA,73322033.0,604.0,22.197846262236993,2.362138714433142,55,Physical Sciences,0.00018285771130201946,5468.732999443137
THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,192890813.0,1199.5,8.721821668553421,1.5624262061798901,141,Other,5.423703145172512e-05,18437.58725788804
THE TRUSTEES OF INDIANA UNIVERSITY,59821366.2,1274.6666666666667,6.70268130264268,1.6564626870713828,30,Other,0.00014281994839777725,7001.82300314823
THE TRUSTEES OF PRINCETON UNIVERSITY,147903339.0,1529.0,11.496143646695373,1.4340091238402253,89,Physical Sciences,0.00011884521170814965,8414.3061855594
THE TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,166797828.58333334,913.0,9.535528432251779,2.131910147670179,151,Other,5.219454912925517e-05,19159.088768514674
THE UNIVERSITY OF ADELAIDE,11037891.36877297,123.10688279728528,4.963919751445309,1.4563490299823634,30,Other,5.536317278725306e-05,18062.54861589584
THE UNIVERSITY OF CHICAGO,80078441.385101,671.8674242424242,8.684049171048052,1.8683979978354979,186,Other,7.286018118769427e-05,13724.917831646775
THE UNIVERSITY OF IOWA,19795022.276470587,100.77058823529411,5.819960317460318,1.3443518518518518,130,Other,2.9627692078612483e-05,33752.20713603527
THE UNIVERSITY OF MANCHESTER,13713157.72904444,148.8729153641583,7.094412087205461,3.3133076210282097,74,Other,7.701842501089616e-05,12983.906121925049
THE UNIVERSITY OF MELBOURNE,17241304.90522886,126.99723078364052,4.770911228407102,1.631913106853754,66,Other,3.514191748552202e-05,28456.045416758665
THE UNIVERSITY OF NEW SOUTH WALES,11508034.303345447,147.58715721427902,5.796818460716633,1.1513032581453633,47,Other,7.434249281440808e-05,13451.257311164485
THE UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,84645830.65753812,212.82436476566912,4.906439547189547,1.6990322015051131,158,Other,1.2336223435699494e-05,81062.08558983494
THE UNIVERSITY OF QUEENSLAND,13946138.952663222,109.77685724421126,6.566138860484483,1.4593350308914292,51,Other,5.16852794009645e-05,19347.86870826781
THE UNIVERSITY OF SYDNEY,15590377.839299057,138.3561509999911,6.522277568176818,1.6910469575724512,63,Other,5.788167736460057e-05,17276.6244091534
THE UNIVERSITY OF TEXAS AT AUSTIN,214449009.08333334,1441.25,7.313472580358686,1.3347451424058792,177,Other,4.915174195254023e-05,20345.15889519392
THE UNIVERSITY OF UTAH,16435572.61904762,57.0,6.1555381944444445,2.080962962962963,85,Other,2.134794358650491e-05,46842.91936353764
THE UNIVERSITY OF WESTERN AUSTRALIA,10110242.253396723,110.07835762448767,6.093698297261078,1.7724203622146335,30,Other,6.634700570070653e-05,15072.270246995502
TRUSTEES OF BOSTON UNIVERSITY,265391539.5,2185.5,7.537634947279487,1.5270521709800347,432,Engineering & CS,6.20724428831286e-05,16110.208549111278
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,36356118.18715324,91.8946885931406,7.652461927124209,1.7348253978864272,65,Other,1.9342565731135538e-05,51699.44948876714
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK THE,58636780.0,318.0,8.972365608038684,2.2515424836601308,84,Defense,4.865908843146404e-05,20551.145371506344
TRUSTEES OF DARTMOUTH COLLEGE,62214835.166666664,191.83333333333334,5.572324929971989,1.344375,69,Other,1.7181716593306737e-05,58201.40232027557
TRUSTEES OF PRINCETON UNIVERSITY,10437079.053129984,67.3685064935065,9.785603591470258,3.55255,54,Other,6.316340958413495e-05,15831.950912465858
TRUSTEES OF PRINCETON UNIVERSITY THE,54064911.0,540.0,10.262567879273247,1.289624579124579,82,Defense,0.00010250246513505874,9755.862931514725
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,13299319.166666666,81.5,39.96452380952381,4.318161375661376,42,Social Sciences,0.00024490792721478465,4083.1671370236963
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA THE,38436418.0,281.0,9.3630033993784,1.3607184179456908,59,Defense,6.845081025045909e-05,14609.030869627919
TULANE UNIVERSITY,75958141.19315477,266.49434523809526,4.149800877665948,1.5078968784024964,158,Other,1.4559314517055636e-05,68684.55234128924
TULANE UNIVERSITY OF LOUISIANA,268008010.0,962.0,5.01306552163675,1.7311702291921818,198,Biomedical,1.7994122757056975e-05,55573.70111903998
UCHICAGO ARGONNE LLC,23072119.6875,163.375,4.672881355932203,1.8463953488372091,4,Other,3.308894032562753e-05,30221.578272347866
UNIV OF MARYLAND COLLEGE PARK,169348657.0,1010.0,4.994610259971545,1.8120583323557549,185,Biomedical,2.978799154321762e-05,33570.574858971595
UNIV OF NORTH CAROLINA CHAPEL HILL,1384984253.0,8357.0,6.173409027089163,2.163100136349651,1179,Biomedical,3.7250372433934195e-05,26845.369177813212
UNIVERSIT MCGILL,202386642.75,562.2857142857143,5.313322047000618,1.6090038821176929,3765,Other,1.476186887549809e-05,67742.10016590859
UNIVERSITAT DE VALENCIA,6089334.212733758,65.79922321830216,6.393971866096867,1.4588484848484848,14,Other,6.909103152674117e-05,14473.658561791155
UNIVERSITY COLLEGE LONDON,37963209.60156373,335.6754360828643,7.396474179481356,2.5029575650154308,206,Other,6.540054757569238e-05,15290.39185555188
UNIVERSITY OF ARIZONA,866309008.8736378,4554.040290290749,6.315430186161786,1.6135507048588207,1255,Biomedical,3.3199150907703765e-05,30121.252280821223
UNIVERSITY OF ARIZONA USA,966413.4743589744,54.371794871794876,10.826466666666668,0.41666666666666663,10,Other,0.0006091123938196139,1641.7331352087801
UNIVERSITY OF BIRMINGHAM,13475145.105152037,156.90539434517282,12.418694799024006,2.5554674943113125,87,Other,0.0001446040238890046,6915.43688139399
UNIVERSITY OF BRISTOL,21143384.49512422,198.52350867821636,7.893752534376124,2.7761647893719807,107,Other,7.411753071620542e-05,13492.084670615654
UNIVERSITY OF CALIFORNIA AT BERKELEY,266974.0,63.0,7.073074074074074,1.1432499999999999,44,Biomedical,0.0016690901236325133,599.1288222493681
UNIVERSITY OF CALIFORNIA AT DAVIS,630204764.0,3862.0,7.554483124772495,2.4318107221658996,675,Biomedical,4.6295133731917294e-05,21600.54241965758
UNIVERSITY OF CALIFORNIA AT RIVERSIDE,250000.0,57.0,4.341642857142857,1.4763888888888888,42,Biomedical,0.0009898945714285714,1010.2085907561296
UNIVERSITY OF CALIFORNIA BERKELEY,419935295.29780173,2346.8954352061496,7.554566742385129,2.6327478181778003,841,Biomedical,4.2220262028917063e-05,23685.310131781996
UNIVERSITY OF CALIFORNIA DAVIS,274281451.139396,976.9858163684845,5.485687579859531,2.018807529242355,619,Other,1.953992490665266e-05,51177.269348641916
UNIVERSITY OF CALIFORNIA IRVINE,134636104.18332455,646.4628234410455,5.7442561482605745,1.6402796047925576,303,Other,2.7581368836376713e-05,36256.35862862299
UNIVERSITY OF CALIFORNIA LOS ANGELES,1374496989.3938227,8624.089716992896,8.282533481163547,2.314495339680723,1529,Biomedical,5.1967601512938565e-05,19242.758389590606
UNIVERSITY OF CALIFORNIA RIVERSIDE,129608788.51051587,739.9047619047619,4.651816172410246,1.668765833989664,249,Biomedical,2.6556076767839428e-05,37656.16467907804
UNIVERSITY OF CALIFORNIA SAN DIEGO,1971716037.044417,11143.18271435783,8.194495319140113,2.609092329050234,1718,Biomedical,4.631131302761284e-05,21592.99606564288
